name,year,n
Alabama,2012,1
Alaska,2012,0
Arizona,2012,0
Arkansas,2012,0
California,2012,2
Colorado,2012,0
Connecticut,2012,0
Delaware,2012,0
District of Columbia,2012,0
Florida,2012,0
Georgia,2012,1
Hawaii,2012,0
Idaho,2012,0
Illinois,2012,1
Indiana,2012,1
Iowa,2012,0
Kansas,2012,1
Kentucky,2012,0
Louisiana,2012,0
Maine,2012,0
Maryland,2012,0
Massachusetts,2012,2
Michigan,2012,3
Minnesota,2012,0
Mississippi,2012,0
Missouri,2012,1
Montana,2012,0
Nebraska,2012,1
Nevada,2012,0
New Hampshire,2012,0
New Jersey,2012,5
New Mexico,2012,0
New York,2012,3
North Carolina,2012,0
North Dakota,2012,0
Ohio,2012,0
Oklahoma,2012,0
Oregon,2012,0
Pennsylvania,2012,0
Rhode Island,2012,0
South Carolina,2012,0
South Dakota,2012,0
Tennessee,2012,0
Texas,2012,2
Utah,2012,0
Vermont,2012,0
Virginia,2012,2
Washington,2012,2
West Virginia,2012,0
Wisconsin,2012,0
Wyoming,2012,0
NA,2012,8
Alabama,2013,5
Alaska,2013,0
Arizona,2013,1
Arkansas,2013,0
California,2013,17
Colorado,2013,2
Connecticut,2013,2
Delaware,2013,1
District of Columbia,2013,5
Florida,2013,2
Georgia,2013,4
Hawaii,2013,0
Idaho,2013,1
Illinois,2013,15
Indiana,2013,4
Iowa,2013,2
Kansas,2013,8
Kentucky,2013,8
Louisiana,2013,2
Maine,2013,2
Maryland,2013,5
Massachusetts,2013,9
Michigan,2013,12
Minnesota,2013,2
Mississippi,2013,0
Missouri,2013,5
Montana,2013,4
Nebraska,2013,2
Nevada,2013,3
New Hampshire,2013,0
New Jersey,2013,5
New Mexico,2013,2
New York,2013,9
North Carolina,2013,8
North Dakota,2013,0
Ohio,2013,3
Oklahoma,2013,2
Oregon,2013,1
Pennsylvania,2013,5
Rhode Island,2013,0
South Carolina,2013,1
South Dakota,2013,0
Tennessee,2013,4
Texas,2013,9
Utah,2013,1
Vermont,2013,1
Virginia,2013,8
Washington,2013,6
West Virginia,2013,0
Wisconsin,2013,13
Wyoming,2013,0
NA,2013,31
Alabama,2014,7
Alaska,2014,1
Arizona,2014,5
Arkansas,2014,2
California,2014,40
Colorado,2014,9
Connecticut,2014,8
Delaware,2014,0
District of Columbia,2014,3
Florida,2014,12
Georgia,2014,8
Hawaii,2014,0
Idaho,2014,1
Illinois,2014,59
Indiana,2014,4
Iowa,2014,7
Kansas,2014,17
Kentucky,2014,32
Louisiana,2014,3
Maine,2014,7
Maryland,2014,20
Massachusetts,2014,14
Michigan,2014,24
Minnesota,2014,8
Mississippi,2014,1
Missouri,2014,6
Montana,2014,3
Nebraska,2014,1
Nevada,2014,3
New Hampshire,2014,3
New Jersey,2014,12
New Mexico,2014,1
New York,2014,15
North Carolina,2014,8
North Dakota,2014,1
Ohio,2014,10
Oklahoma,2014,2
Oregon,2014,7
Pennsylvania,2014,11
Rhode Island,2014,4
South Carolina,2014,4
South Dakota,2014,2
Tennessee,2014,9
Texas,2014,26
Utah,2014,4
Vermont,2014,7
Virginia,2014,9
Washington,2014,17
West Virginia,2014,0
Wisconsin,2014,15
Wyoming,2014,0
NA,2014,124
Alabama,2015,17
Alaska,2015,0
Arizona,2015,6
Arkansas,2015,9
California,2015,90
Colorado,2015,14
Connecticut,2015,29
Delaware,2015,4
District of Columbia,2015,14
Florida,2015,14
Georgia,2015,18
Hawaii,2015,2
Idaho,2015,1
Illinois,2015,73
Indiana,2015,10
Iowa,2015,11
Kansas,2015,29
Kentucky,2015,45
Louisiana,2015,7
Maine,2015,13
Maryland,2015,23
Massachusetts,2015,24
Michigan,2015,50
Minnesota,2015,8
Mississippi,2015,2
Missouri,2015,21
Montana,2015,3
Nebraska,2015,11
Nevada,2015,4
New Hampshire,2015,3
New Jersey,2015,44
New Mexico,2015,3
New York,2015,37
North Carolina,2015,12
North Dakota,2015,3
Ohio,2015,14
Oklahoma,2015,10
Oregon,2015,5
Pennsylvania,2015,14
Rhode Island,2015,6
South Carolina,2015,6
South Dakota,2015,4
Tennessee,2015,14
Texas,2015,39
Utah,2015,11
Vermont,2015,8
Virginia,2015,13
Washington,2015,31
West Virginia,2015,3
Wisconsin,2015,19
Wyoming,2015,6
NA,2015,244
Alabama,2016,20
Alaska,2016,1
Arizona,2016,2
Arkansas,2016,12
California,2016,142
Colorado,2016,16
Connecticut,2016,45
Delaware,2016,5
District of Columbia,2016,8
Florida,2016,28
Georgia,2016,18
Hawaii,2016,4
Idaho,2016,4
Illinois,2016,76
Indiana,2016,11
Iowa,2016,31
Kansas,2016,46
Kentucky,2016,46
Louisiana,2016,2
Maine,2016,11
Maryland,2016,30
Massachusetts,2016,37
Michigan,2016,56
Minnesota,2016,19
Mississippi,2016,3
Missouri,2016,27
Montana,2016,2
Nebraska,2016,5
Nevada,2016,9
New Hampshire,2016,9
New Jersey,2016,39
New Mexico,2016,3
New York,2016,57
North Carolina,2016,9
North Dakota,2016,1
Ohio,2016,20
Oklahoma,2016,13
Oregon,2016,15
Pennsylvania,2016,24
Rhode Island,2016,11
South Carolina,2016,10
South Dakota,2016,3
Tennessee,2016,18
Texas,2016,57
Utah,2016,6
Vermont,2016,13
Virginia,2016,20
Washington,2016,30
West Virginia,2016,4
Wisconsin,2016,21
Wyoming,2016,0
NA,2016,319
Alabama,2017,11
Alaska,2017,5
Arizona,2017,7
Arkansas,2017,10
California,2017,186
Colorado,2017,22
Connecticut,2017,46
Delaware,2017,6
District of Columbia,2017,13
Florida,2017,34
Georgia,2017,26
Hawaii,2017,0
Idaho,2017,3
Illinois,2017,88
Indiana,2017,11
Iowa,2017,19
Kansas,2017,43
Kentucky,2017,32
Louisiana,2017,16
Maine,2017,6
Maryland,2017,47
Massachusetts,2017,29
Michigan,2017,87
Minnesota,2017,21
Mississippi,2017,3
Missouri,2017,33
Montana,2017,6
Nebraska,2017,9
Nevada,2017,8
New Hampshire,2017,4
New Jersey,2017,55
New Mexico,2017,5
New York,2017,73
North Carolina,2017,20
North Dakota,2017,3
Ohio,2017,12
Oklahoma,2017,19
Oregon,2017,16
Pennsylvania,2017,35
Rhode Island,2017,10
South Carolina,2017,7
South Dakota,2017,4
Tennessee,2017,19
Texas,2017,59
Utah,2017,7
Vermont,2017,4
Virginia,2017,22
Washington,2017,34
West Virginia,2017,8
Wisconsin,2017,29
Wyoming,2017,2
NA,2017,388
Alabama,2018,14
Alaska,2018,1
Arizona,2018,5
Arkansas,2018,16
California,2018,175
Colorado,2018,22
Connecticut,2018,37
Delaware,2018,5
District of Columbia,2018,6
Florida,2018,24
Georgia,2018,26
Hawaii,2018,2
Idaho,2018,5
Illinois,2018,91
Indiana,2018,11
Iowa,2018,20
Kansas,2018,46
Kentucky,2018,29
Louisiana,2018,13
Maine,2018,14
Maryland,2018,32
Massachusetts,2018,39
Michigan,2018,70
Minnesota,2018,12
Mississippi,2018,4
Missouri,2018,19
Montana,2018,8
Nebraska,2018,9
Nevada,2018,12
New Hampshire,2018,8
New Jersey,2018,45
New Mexico,2018,5
New York,2018,81
North Carolina,2018,15
North Dakota,2018,3
Ohio,2018,19
Oklahoma,2018,17
Oregon,2018,16
Pennsylvania,2018,34
Rhode Island,2018,10
South Carolina,2018,5
South Dakota,2018,5
Tennessee,2018,19
Texas,2018,46
Utah,2018,11
Vermont,2018,5
Virginia,2018,16
Washington,2018,33
West Virginia,2018,4
Wisconsin,2018,18
Wyoming,2018,2
NA,2018,393
Alabama,2019,8
Alaska,2019,1
Arizona,2019,8
Arkansas,2019,8
California,2019,113
Colorado,2019,19
Connecticut,2019,23
Delaware,2019,7
District of Columbia,2019,8
Florida,2019,12
Georgia,2019,18
Hawaii,2019,3
Idaho,2019,3
Illinois,2019,46
Indiana,2019,8
Iowa,2019,11
Kansas,2019,36
Kentucky,2019,16
Louisiana,2019,9
Maine,2019,5
Maryland,2019,30
Massachusetts,2019,31
Michigan,2019,50
Minnesota,2019,14
Mississippi,2019,2
Missouri,2019,26
Montana,2019,2
Nebraska,2019,12
Nevada,2019,9
New Hampshire,2019,1
New Jersey,2019,33
New Mexico,2019,5
New York,2019,72
North Carolina,2019,15
North Dakota,2019,0
Ohio,2019,16
Oklahoma,2019,16
Oregon,2019,10
Pennsylvania,2019,19
Rhode Island,2019,7
South Carolina,2019,4
South Dakota,2019,4
Tennessee,2019,15
Texas,2019,25
Utah,2019,7
Vermont,2019,4
Virginia,2019,15
Washington,2019,23
West Virginia,2019,2
Wisconsin,2019,18
Wyoming,2019,2
NA,2019,321
